skull,card_count,mean_appearance_count,total_appearance_count,total_acquired_count,mean_acquired_given_appearance_rate
1,18,30.5,549,143,0.2633307968505961
2,17,29.529411764705884,502,143,0.28697670039324913
3,17,31.823529411764707,541,280,0.5204820066387019

card_id,suit,rank,skull,appearance_count,player_reveal_count,ai_reveal_count,player_acquired_count,ai_acquired_count,unacquired_field_removal_count,overflow_removal_count,visibility_eviction_count,selected_as_1_card_count,selected_as_2_card_count,appearance_rate_per_game,player_reveal_rate_per_game,ai_reveal_rate_per_game,total_acquired_count,acquired_given_appearance_rate,appearance_minus_mean
S4,S,4,3,43,26,17,12,8,4,19,0,20,0,0.43,0.26,0.17,20,0.46511627906976744,12.384615384615383
S9,S,9,2,40,19,21,1,7,11,21,0,0,8,0.4,0.19,0.21,8,0.2,9.384615384615383
H4,H,4,1,39,23,16,2,5,17,11,4,0,7,0.39,0.23,0.16,7,0.1794871794871795,8.384615384615383
SJ,S,J,3,39,14,25,9,13,3,14,0,22,0,0.39,0.14,0.25,22,0.5641025641025641,8.384615384615383
D3,D,3,3,38,15,23,6,12,4,16,0,18,0,0.38,0.15,0.23,18,0.47368421052631576,7.384615384615383
D6,D,6,2,38,16,22,7,5,8,18,0,0,12,0.38,0.16,0.22,12,0.3157894736842105,7.384615384615383
C3,C,3,3,36,19,17,9,9,5,13,0,18,0,0.36,0.19,0.17,18,0.5,5.384615384615383
H3,H,3,1,36,21,15,5,4,13,12,2,0,9,0.36,0.21,0.15,9,0.25,5.384615384615383
S8,S,8,1,35,14,21,4,4,12,13,2,0,8,0.35,0.14,0.21,8,0.22857142857142856,4.384615384615383
CA,C,A,3,34,19,15,7,8,3,16,0,15,0,0.34,0.19,0.15,15,0.4411764705882353,3.3846153846153832
D10,D,10,2,34,20,14,4,5,8,17,0,0,9,0.34,0.2,0.14,9,0.2647058823529412,3.3846153846153832
DJ,D,J,3,34,18,16,7,11,3,13,0,18,0,0.34,0.18,0.16,18,0.5294117647058824,3.3846153846153832
H5,H,5,2,34,21,13,6,5,8,15,0,0,11,0.34,0.21,0.13,11,0.3235294117647059,3.3846153846153832
H6,H,6,3,34,14,20,8,8,0,18,0,16,0,0.34,0.14,0.2,16,0.47058823529411764,3.3846153846153832
C9,C,9,1,33,13,20,4,4,13,9,3,0,8,0.33,0.13,0.2,8,0.24242424242424243,2.3846153846153832
CQ,C,Q,1,33,16,17,4,4,14,4,7,0,8,0.33,0.16,0.17,8,0.24242424242424243,2.3846153846153832
S7,S,7,1,33,16,17,7,6,16,2,2,0,13,0.33,0.16,0.17,13,0.3939393939393939,2.3846153846153832
SA,S,A,1,33,12,21,4,4,14,5,6,0,8,0.33,0.12,0.21,8,0.24242424242424243,2.3846153846153832
C7,C,7,3,32,16,16,10,5,7,10,0,15,0,0.32,0.16,0.16,15,0.46875,1.3846153846153832
CJ,C,J,2,32,14,18,5,8,6,13,0,0,13,0.32,0.14,0.18,13,0.40625,1.3846153846153832
S3,S,3,3,32,13,19,8,8,4,12,0,16,0,0.32,0.13,0.19,16,0.5,1.3846153846153832
D2,D,2,3,31,12,19,11,10,3,7,0,21,0,0.31,0.12,0.19,21,0.6774193548387096,0.38461538461538325
D5,D,5,2,31,18,13,5,4,10,12,0,0,9,0.31,0.18,0.13,9,0.2903225806451613,0.38461538461538325
DA,D,A,1,31,14,17,2,6,12,7,4,0,8,0.31,0.14,0.17,8,0.25806451612903225,0.38461538461538325
HK,H,K,1,31,18,13,0,5,16,6,4,0,5,0.31,0.18,0.13,5,0.16129032258064516,0.38461538461538325
S10,S,10,2,31,15,16,1,3,10,17,0,0,4,0.31,0.15,0.16,4,0.12903225806451613,0.38461538461538325
S2,S,2,1,31,16,15,4,4,12,5,6,0,8,0.31,0.16,0.15,8,0.25806451612903225,0.38461538461538325
DK,D,K,1,30,18,12,2,5,14,7,2,0,7,0.3,0.18,0.12,7,0.23333333333333334,-0.6153846153846168
H9,H,9,3,30,22,8,6,7,1,16,0,13,0,0.3,0.22,0.08,13,0.43333333333333335,-0.6153846153846168
C10,C,10,3,29,14,15,6,12,2,9,0,18,0,0.29,0.14,0.15,18,0.6206896551724138,-1.6153846153846168
D9,D,9,2,29,10,19,3,1,12,13,0,0,4,0.29,0.1,0.19,4,0.13793103448275862,-1.6153846153846168
DQ,D,Q,2,29,13,16,8,3,6,12,0,0,11,0.29,0.13,0.16,11,0.3793103448275862,-1.6153846153846168
H8,H,8,1,29,14,15,6,3,6,9,5,0,9,0.29,0.14,0.15,9,0.3103448275862069,-1.6153846153846168
D4,D,4,2,28,13,15,1,4,12,11,0,0,5,0.28,0.13,0.15,5,0.17857142857142858,-2.6153846153846168
H10,H,10,1,28,14,14,2,3,12,6,5,0,5,0.28,0.14,0.14,5,0.17857142857142858,-2.6153846153846168
S6,S,6,3,28,18,10,2,15,2,9,0,17,0,0.28,0.18,0.1,17,0.6071428571428571,-2.6153846153846168
SQ,S,Q,1,28,16,12,2,6,9,6,5,0,8,0.28,0.16,0.12,8,0.2857142857142857,-2.6153846153846168
C4,C,4,2,27,14,13,4,6,7,10,0,0,10,0.27,0.14,0.13,10,0.37037037037037035,-3.6153846153846168
CK,C,K,3,27,13,14,9,5,3,10,0,14,0,0.27,0.13,0.14,14,0.5185185185185185,-3.6153846153846168
HA,H,A,1,27,14,13,4,7,8,6,2,0,11,0.27,0.14,0.13,11,0.4074074074074074,-3.6153846153846168
C8,C,8,2,26,10,16,5,6,7,8,0,0,11,0.26,0.1,0.16,11,0.4230769230769231,-4.615384615384617
D7,D,7,2,26,17,9,4,5,10,7,0,0,9,0.26,0.17,0.09,9,0.34615384615384615,-4.615384615384617
D8,D,8,1,26,10,16,7,2,8,7,2,0,9,0.26,0.1,0.16,9,0.34615384615384615,-4.615384615384617
H2,H,2,2,26,16,10,3,3,6,14,0,0,6,0.26,0.16,0.1,6,0.23076923076923078,-4.615384615384617
H7,H,7,3,26,13,13,7,6,5,8,0,13,0,0.26,0.13,0.13,13,0.5,-4.615384615384617
HJ,H,J,2,26,15,11,3,5,6,12,0,0,8,0.26,0.15,0.11,8,0.3076923076923077,-4.615384615384617
HQ,H,Q,3,25,13,12,9,6,2,8,0,15,0,0.25,0.13,0.12,15,0.6,-5.615384615384617
C2,C,2,1,23,12,11,3,2,12,3,3,0,5,0.23,0.12,0.11,5,0.21739130434782608,-7.615384615384617
C5,C,5,2,23,14,9,5,3,6,9,0,0,8,0.23,0.14,0.09,8,0.34782608695652173,-7.615384615384617
S5,S,5,1,23,10,13,4,3,9,5,2,0,7,0.23,0.1,0.13,7,0.30434782608695654,-7.615384615384617
SK,S,K,3,23,10,13,7,4,1,11,0,11,0,0.23,0.1,0.13,11,0.4782608695652174,-7.615384615384617
C6,C,6,2,22,11,11,1,4,4,13,0,0,5,0.22,0.11,0.11,5,0.22727272727272727,-8.615384615384617

game_id,winner,completed_three_wins,turns_played,cards_drawn,remaining_deck_cards,player_bell_wins,ai_bell_wins,bell_event_count,one_card_acquisition_events,two_card_acquisition_events,acquired_card_count,unacquired_field_removal_count,overflow_removal_count,visibility_eviction_count
1,ai,1,10,20,32,2,3,5,2,3,8,9,2,1
2,player,1,15,30,22,3,1,4,3,1,5,4,18,3
3,player,1,5,10,42,3,2,5,5,0,5,5,0,0
4,ai,1,4,8,44,1,3,4,4,0,4,4,0,0
5,ai,1,10,20,32,2,3,5,4,1,6,4,10,0
6,ai,1,8,16,36,1,3,4,4,0,4,4,8,0
7,player,1,9,18,34,3,1,4,1,3,7,1,10,0
8,ai,1,6,12,40,2,3,5,4,1,6,6,0,0
9,ai,1,12,24,28,1,3,4,2,2,6,2,12,4
10,player,1,12,24,28,3,1,4,2,2,6,3,14,1
11,ai,1,8,16,36,1,3,4,2,2,6,6,4,0
12,player,1,7,14,38,3,1,4,3,1,5,5,4,0
13,ai,1,6,12,40,2,3,5,4,1,6,4,2,0
14,player,1,11,22,30,3,2,5,3,2,7,6,8,1
15,player,1,11,22,30,3,2,5,3,2,7,5,10,0
16,ai,1,6,12,40,1,3,4,2,2,6,2,4,0
17,player,1,4,8,44,3,0,3,2,1,4,4,0,0
18,player,1,5,10,42,3,0,3,2,1,4,4,0,2
19,ai,1,7,14,38,2,3,5,3,2,7,3,4,0
20,ai,1,10,20,32,2,3,5,4,1,6,6,8,0
21,ai,1,7,14,38,0,3,3,3,0,3,3,6,2
22,ai,1,10,20,32,0,3,3,2,1,4,2,12,2
23,player,1,8,16,36,3,1,4,2,2,6,3,6,1
24,ai,1,14,28,24,2,3,5,3,2,7,4,16,1
25,player,1,7,14,38,3,2,5,3,2,7,7,0,0
26,ai,1,5,10,42,0,3,3,3,0,3,4,2,1
27,player,1,6,12,40,3,1,4,2,2,6,4,2,0
28,player,1,9,18,34,3,1,4,3,1,5,4,6,3
29,player,1,5,10,42,3,0,3,3,0,3,2,4,1
30,ai,1,7,14,38,2,3,5,3,2,7,3,4,0
31,player,1,15,30,22,3,1,4,2,2,6,3,16,5
32,ai,1,4,8,44,0,3,3,2,1,4,4,0,0
33,player,1,6,12,40,3,2,5,4,1,6,4,2,0
34,ai,1,6,12,40,1,3,4,3,1,5,4,2,1
35,ai,1,11,22,30,2,3,5,1,4,9,5,8,0
36,ai,1,7,14,38,2,3,5,3,2,7,5,2,0
37,player,1,8,16,36,3,2,5,4,1,6,4,6,0
38,ai,1,6,12,40,2,3,5,4,1,6,6,0,0
39,ai,1,6,12,40,1,3,4,2,2,6,4,2,0
40,ai,1,7,14,38,1,3,4,3,1,5,5,4,0
41,player,1,12,24,28,3,1,4,2,2,6,2,14,2
42,ai,1,7,14,38,1,3,4,3,1,5,5,4,0
43,player,1,5,10,42,3,0,3,3,0,3,3,4,0
44,ai,1,5,10,42,0,3,3,3,0,3,3,4,0
45,ai,1,11,22,30,1,3,4,2,2,6,4,10,2
46,player,1,8,16,36,3,0,3,2,1,4,2,10,0
47,ai,1,4,8,44,1,3,4,4,0,4,4,0,0
48,ai,1,14,28,24,2,3,5,4,1,6,5,16,1
49,ai,1,8,16,36,2,3,5,4,1,6,6,4,0
50,ai,1,9,18,34,2,3,5,3,2,7,5,6,0
51,ai,1,11,22,30,2,3,5,3,2,7,3,10,2
52,ai,1,6,12,40,1,3,4,2,2,6,6,0,0
53,player,1,5,10,42,3,0,3,1,2,5,1,4,0
54,player,1,8,16,36,3,1,4,3,1,5,5,4,2
55,player,1,4,8,44,3,0,3,2,1,4,4,0,0
56,ai,1,6,12,40,2,3,5,4,1,6,6,0,0
57,ai,1,5,10,42,1,3,4,3,1,5,5,0,0
58,player,1,6,12,40,3,1,4,3,1,5,4,2,1
59,player,1,7,14,38,3,1,4,3,1,5,5,4,0
60,ai,1,7,14,38,2,3,5,3,2,7,5,2,0
61,ai,1,12,24,28,2,3,5,3,2,7,4,10,3
62,ai,1,6,12,40,1,3,4,2,2,6,4,2,0
63,player,1,9,18,34,3,1,4,3,1,5,4,6,3
64,player,1,8,16,36,3,2,5,4,1,6,5,4,1
65,ai,1,7,14,38,1,3,4,3,1,5,3,6,0
66,player,1,11,22,30,3,2,5,3,2,7,5,10,0
67,ai,1,9,18,34,2,3,5,3,2,7,3,8,0
68,ai,1,8,16,36,2,3,5,3,2,7,6,2,1
69,ai,1,11,22,30,0,3,3,2,1,4,3,14,1
70,player,1,13,26,26,3,2,5,2,3,8,2,14,2
71,ai,1,9,18,34,2,3,5,3,2,7,5,6,0
72,ai,1,4,8,44,0,3,3,2,1,4,2,2,0
73,ai,1,13,26,26,1,3,4,2,2,6,3,16,1
74,ai,1,3,6,46,0,3,3,3,0,3,3,0,0
75,ai,1,10,20,32,2,3,5,4,1,6,6,6,2
76,ai,1,13,26,26,2,3,5,4,1,6,4,14,2
77,ai,1,4,8,44,0,3,3,2,1,4,2,2,0
78,ai,1,6,12,40,0,3,3,2,1,4,1,6,1
79,ai,1,8,16,36,2,3,5,3,2,7,5,2,2
80,ai,1,7,14,38,1,3,4,3,1,5,5,4,0
81,player,1,7,14,38,3,2,5,3,2,7,5,2,0
82,player,1,7,14,38,3,2,5,3,2,7,7,0,0
83,ai,1,7,14,38,2,3,5,3,2,7,5,2,0
84,player,1,10,20,32,3,0,3,0,3,6,2,12,0
85,ai,1,5,10,42,1,3,4,3,1,5,3,2,0
86,player,1,17,34,18,3,2,5,1,4,9,4,20,1
87,player,1,7,14,38,3,1,4,3,1,5,5,4,0
88,ai,1,4,8,44,0,3,3,2,1,4,2,2,0
89,ai,1,11,22,30,2,3,5,3,2,7,5,10,0
90,player,1,8,16,36,3,1,4,2,2,6,4,6,0
91,player,1,4,8,44,3,0,3,2,1,4,2,2,0
92,player,1,10,20,32,3,2,5,2,3,8,6,6,0
93,player,1,7,14,38,3,1,4,3,1,5,3,4,2
94,ai,1,7,14,38,2,3,5,5,0,5,5,4,0
95,ai,1,9,18,34,2,3,5,3,2,7,2,8,1
96,ai,1,6,12,40,1,3,4,2,2,6,2,4,0
97,player,1,4,8,44,3,1,4,4,0,4,4,0,0
98,player,1,13,26,26,3,2,5,3,2,7,5,10,4
99,ai,1,7,14,38,1,3,4,3,1,5,5,4,0
100,player,1,7,14,38,3,2,5,3,2,7,5,2,0

game_id,turn,winner,selected_side,valid_side_count,acquired_card_count,acquired_cards,opposite_removed_count,opposite_removed_cards,player_bell_wins,ai_bell_wins
1,2,player,left,1,2,H3|HJ,2,C2|CQ,1,0
1,5,ai,left,2,1,H6,2,SA|S9,1,1
1,7,ai,right,1,2,H10|D6,2,D8|S2,1,2
1,9,player,left,1,2,C6|SQ,2,H4|DK,2,2
1,10,ai,right,2,1,D3,1,CA,2,3
2,1,player,left,1,1,D3,1,SQ,1,0
2,4,player,right,1,1,DJ,1,HK,2,0
2,5,ai,left,1,1,CA,1,SA,2,1
2,15,player,right,1,2,C2|D6,1,S5,3,1
3,1,ai,left,1,1,H9,1,H2,0,1
3,2,player,left,2,1,S3,1,D2,1,1
3,3,player,left,1,1,S6,1,S8,2,1
3,4,ai,left,1,1,C10,1,S7,2,2
3,5,player,left,1,1,H7,1,D8,3,2
4,1,ai,right,1,1,S4,1,HJ,0,1
4,2,player,left,1,1,C3,1,H4,1,1
4,3,ai,left,1,1,H7,1,S8,1,2
4,4,ai,left,1,1,HQ,1,C6,1,3
5,2,ai,left,1,2,H5|C9,0,,0,1
5,3,ai,left,1,1,C10,1,DA,0,2
5,4,player,left,2,1,HQ,1,D3,1,2
5,9,player,left,1,1,S4,1,S7,2,2
5,10,ai,right,2,1,DJ,1,SJ,2,3
6,1,ai,left,1,1,C3,1,C8,0,1
6,2,player,left,1,1,HQ,1,CQ,1,1
6,7,ai,left,1,1,C10,1,H4,1,2
6,8,ai,right,1,1,S6,1,D10,1,3
7,2,player,right,1,2,SA|H2,0,,1,0
7,3,player,left,1,1,H6,1,D7,2,0
7,5,ai,left,1,2,CJ|HK,0,,2,1
7,9,player,right,1,2,S7|D6,0,,3,1
8,1,player,right,1,1,H6,1,C2,1,0
8,2,ai,right,1,1,S6,1,HK,1,1
8,3,ai,left,1,1,SJ,1,H10,1,2
8,5,player,left,1,2,H8|D10,2,CQ|S5,2,2
8,6,ai,left,1,1,D2,1,S2,2,3
9,1,ai,left,1,1,S6,1,D7,0,1
9,3,player,right,1,2,D9|S7,0,,1,1
9,11,ai,right,1,2,S8|CJ,0,,1,2
9,12,ai,left,1,1,D3,1,HA,1,3
10,1,player,right,1,1,D2,1,H3,1,0
10,5,player,left,2,2,SA|HJ,2,H5|CQ,2,0
10,9,ai,left,1,2,DA|D10,0,,2,1
10,12,player,right,1,1,HQ,0,,3,1
11,2,ai,left,2,2,C8|SQ,2,D6|C9,0,1
11,5,player,right,1,1,DJ,1,H8,1,1
11,6,ai,right,1,1,H9,1,S10,1,2
11,8,ai,right,1,2,H4|CJ,2,DK|SA,1,3
12,3,player,left,1,1,S4,1,H5,1,0
12,4,ai,left,1,1,SJ,1,SQ,1,1
12,5,player,right,2,1,H7,1,H9,2,1
12,7,player,right,1,2,D6|CQ,2,SA|S8,3,1
13,1,player,right,1,1,S4,1,D9,1,0
13,3,ai,left,1,2,C6|S2,0,,1,1
13,4,player,right,2,1,C7,1,C3,2,1
13,5,ai,right,1,1,C10,1,S10,2,2
13,6,ai,left,1,1,SJ,1,H2,2,3
14,2,ai,left,1,2,DQ|D8,0,,0,1
14,4,ai,left,2,2,CJ|S7,2,H4|D4,0,2
14,7,player,right,2,1,H7,2,SA|D9,1,2
14,10,player,right,2,1,S3,1,D2,2,2
14,11,player,left,1,1,C3,1,C5,3,2
15,2,player,left,1,2,DQ|HA,2,HK|S8,1,0
15,4,ai,left,1,2,H4|D5,0,,1,1
15,5,ai,left,1,1,S6,1,C8,1,2
15,10,player,right,1,1,C10,1,S10,2,2
15,11,player,left,1,1,D2,1,CJ,3,2
